title,company,url,location,description,scraped_at
Software Engineer,N/A,https://au.indeed.com/rc/clk?jk=9ae45f9ed0b17cc8&bb=dQaK1IbevmQh1VhcYn5hg3GgJOUciDppR0DrZsHaZK1MzmR6GxCP2f0pGO5uPq2tkk7wM3EsFxaQWvzGfeOiOf31zyoYk767AAKcsnCdR0CcjrTKf7hwhv3cOeEYieg2KNFZssooIHnoFTDEwVUttg%3D%3D&xkcb=SoDD67M3oNxRJgAFuL0LbzkdCdPP&fccid=5438980566e5f414&vjs=3,Australia,"We do Consulting Differently
Second Sight Solutions, a subsidiary of Berkeley Research Group (BRG), is a health technology company, and o ur innovative technology reimagines how drug discount data is exchanged, establishing new connections and improving transparency for drug manufacturers and their customers. Our customers and partners trust us to deliver reliable, first-to-market solutions and safeguard the data we receive. We trust our employees, and our culture gives them the freedom to create, collaborate, and grow. Our leaders are industry experts, creative, unafraid to challenge the status quo, and the pioneers of market-changing solutions.
We are currently seeking front-end and full-stack Software Engineers and Senior Software Engineers who are passionate about solving challenging problems! Our software engineers take part in creating some of the most innovative software solutions in the dynamic and fascinating field of healthcare analytics.
Job title and compensation to be determined based on qualifications and experience.
Responsibilities:
With your technical expertise you will manage project priorities, deadlines, and deliverables.
You will design, develop, test, deploy, maintain, and enhance software solutions.
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
Work in an environment that supports your individual growth.
Collaborate closely with other engineers and become a valued member of an autonomous, impactful, cross-functional team.
Technical Skill Set:
5+ years of software development experience in one or more of the following programming languages: React, TypeScript, JavaScript, Ruby, Ruby on Rails, and/or Go/Golang.
Experience with Agile SDLC methodology, Jira, GitHub, Git (git-flow, merge, rebase, squashing, branch management) and working in a CI/CD environment.
Experience with one or more of the following: Kubernetes, MongoDB, Docker, and/or Microsoft Azure is a plus.
Requirements:
5+ years of solid software development experience; A minimum of 8-10+ years is required for the Senior level position. Job title to be determined based on relevant qualifications and experience.
Bachelor’s degree in Computer Science, Information Technology or a related field.
Strong problem-solving and analytical skills, with the ability to make quick decisions in a fast-paced environment with complete ownership.
Experience with code quality, continuous delivery, and automated testing.
Comfortable working in an agile environment and challenging yourself and your team to improve their ways of working.
Experience building scalable, user-friendly web applications.
Salary Range: 140,000 - 200,000 AUD per year
#LI-JQ1
#LI-REMOTE
About BRG

BRG combines world-leading academic credentials with world-tested business expertise purpose-built for agility and connectivity, which sets us apart—and gets you ahead.
At BRG, our top-tier professionals include specialist consultants, industry experts, renowned academics, and leading-edge data scientists. Together, they bring a diversity of proven real-world experience to economics, disputes, and investigations; corporate finance; and performance improvement services that address the most complex challenges for organizations across the globe.
Our unique structure nurtures the interdisciplinary relationships that give us the edge, laying the groundwork for more informed insights and more original, incisive thinking from diverse perspectives that, when paired with our global reach and resources, make us uniquely capable to address our clients’ challenges. We get results because we know how to apply our thinking to your world.
At BRG, we don’t just show you what’s possible. We’re built to help you make it happen.
BRG is proud to be an Equal Opportunity Employer. Our hiring practices provide equal opportunity for employment without regard to race, religion, color, sex, gender, national origin, age, United States military veteran status, ancestry, sexual orientation, marital status, family structure, medical condition including genetic characteristics or information, veteran status, or mental or physical disability so long as the essential functions of the job can be performed with or without reasonable accommodation, or any other protected category under federal, state, or local law.",2026-01-08 10:10
Graduate Software Developer: 2027,N/A,https://au.indeed.com/rc/clk?jk=3e66265e21f4d0b9&bb=dQaK1IbevmQh1VhcYn5hg57-h6v087zX7grJMYmquP7diNAjwDBkxzFZMYvi0fT7stFkFBTAHnhdFRFrbMztW33OPU2L-g3U4auxMeeR4-OqT0pn9pKvekWBfoJ9fYFrMW5W18JDU-2Hengr9EqTlw%3D%3D&xkcb=SoB367M3oNxRJgAFuL0KbzkdCdPP&fccid=4cd66e5617f038d8&vjs=3,Australia,"Are you interested in becoming a Graduate Software Developer at Susquehanna?

Susquehanna is a global quantitative trading firm powered by scientific rigor, curiosity, and innovation. Our culture is intellectually driven and highly collaborative, bringing together researchers, engineers, and traders to design and deploy impactful strategies in our systematic trading environment. To meet the unique challenges of global markets, Susquehanna applies machine learning and advanced quantitative research to vast datasets in order to uncover actionable insights and build effective strategies. By uniting deep market expertise with cutting-edge technology, we excel in solving complex problems and pushing boundaries together.

Susquehanna is looking for recent and upcoming graduates to join our high performing technologists in Sydney. This is a great opportunity to sharpen your technical skills, learn about the trading industry, and understand the fundamentals of risk-based decision making.

You’ll work on innovative technologies with experienced engineers on the development, delivery, support, and enhancements of our trading systems and infrastructure.

What You Could Work On:
Designing and developing low-latency trading systems for our trading desks
Developing high-performance low-level C++ / C# code for handling the first steps of our market data processes
Conducting technology research projects related to scale and performance with open-source tools
Developing applications and services that receive and store trading activity
Creating tools to improve system efficiency using performance data
Building complex trading strategies, as well as having access to tens of petabytes of market and trading data for analysis.

With guidance and mentoring from your team, you’ll get hands-on experience beginning on your first day. The education associated with this program aims to familiarise you with our technology environment, our business, current industry topics pertaining to technology, and how we apply decision science at Susquehanna.

What we're looking for
BS or MS in Computer Science, Computer Engineering, or a similar major, distinction average WAM, from an Australian or New Zealand University
Strong software development skills in the languages we use (C++, C# and Python) or Java
A solid knowledge of algorithms, data structures, and object-oriented design patterns
Experience developing performance sensitive code is a plus
Well-developed analytical and problem-solving skills, with the ability to identify a problem, evaluate it, and suggest solutions
Ability to collaborate with a team while having the confidence to work independently
Flexible and driven with a commitment to innovation
Ability and desire to work in a fast paced, dynamic environment
Excellent verbal and written communication skills

What's in it for you:
Our market leading education program, incorporating classroom theory and simulated learning.
Our non-hierarchical culture allows employees of every level to thrive and make impact. We are not your typical trading firm – the environment is casual, collaborative and we focus on continuous development.
Highly competitive remuneration, attractive bonus and additional leave entitlements.
Private healthcare and gym allowances, plus wellness initiatives.
Fully stocked kitchen - daily breakfast and lunch.
Regular social, sporting and community events.
Visa sponsorship and relocation package where required.
Explore our benefits and culture link
Read about Selina’s ‘Day in the life’ as a Software Developer.

Our Interview Process:
Application
Online Assessment
Recruiter Conversation
Technical screen (LiveCoding)
Office Interview (Design & Team Fit)
Job Offer
Equal Opportunity Statement:

We encourage applications from candidates from all backgrounds, and we welcome requests for reasonable adjustments during the recruitment process to ensure that you can best demonstrate your abilities. If you have any questions, please contact sydneycampus@sig.com.

If you're a recruiting agency and want to partner with us, please reach out to recruiting@sig.com. Any resume or referral submitted in the absence of a signed agreement will not be eligible for an agency fee.",2026-01-08 10:10
Software Engineer (Multiple Levels),N/A,https://au.indeed.com/rc/clk?jk=a66398b7c393cc22&bb=dQaK1IbevmQh1VhcYn5hg9oWPIWUISdFexEvBp1MUSQL-1pJh4m2HHxAx_M3ugkrtnUilbp7d3Ne3IimSlTiBszXLkIxiRO7pZh2EY7lXeO5l8516opZ9DpD91gW3s9LMKGT-ftp3u6qPOAvos1sKQ%3D%3D&xkcb=SoDq67M3oNxRJgAFuL0JbzkdCdPP&fccid=0cfcc0dfb9209040&vjs=3,Australia,"Who are we?
UpGuard’s mission is to make life easier for security teams. We meticulously create robust solutions that enable our customers to identify, assess, and remediate cybersecurity risk across their attack surface, vendor ecosystem, workforce, and trust relationships. Our integrated cyber risk posture management platform combines comprehensive security ratings, instant risk assessments, templated security questionnaires, threat intelligence capabilities, and agentic AI to give organizations a holistic view of their risk surface.

Our Product team at UpGuard comprises of our Product Management, Product Support, Engineering, Design, Data Leaks Detection, and Third Party Risk Management Services. Our Product team’s vision is to become the leader in the Cyber VRM category by providing a best-in-class SaaS platform for organizations to manage their third-party risk and external attack surface. Our purpose as a Product team is simply to build a product that enables this. We aim to build a product that users love and come to rely on, and one that regularly and consistently improves.

About The Role
We’re hiring engineers at multiple levels to join our Product Engineering team as we continue to scale rapidly and sustain strong growth.

As Software Engineers at UpGuard, we immerse ourselves in the swiftly evolving and increasingly vital realm of cybersecurity. Our focus is on presenting data in intelligent and creative ways, crafting integrated solutions that directly influence the security posture of our global customers. With the majority of the internet scanned across multiple vectors daily, we confront challenges like high throughput, massive concurrency, and big data. The way we address these challenges reflects the essence of the engineers we welcome into our team.

In this role, you’ll work within a cross-functional team that values iteration, collaboration, and speed. Together, we deliver customer value quickly while ensuring security and reliability at every step. We value clean code, thoughtful design, and engineers who care about the product as much as the technology it is built on.
What you’ll do:
Collaborate with a cross-functional team of engineers, product managers, and designers to create world-class products.
Own and development new customer-facing features end-to-end
Improve system reliability, scalability, and performance
Contribute to code reviews, technical discussions and architectural decisions.
Explore an interesting, challenging domain, mastering the fundamentals of cybersecurity and the internet.
What you'll bring:
4+ years of relevant engineering experience at tech-centric and product-driven companies
Curious about exploring new technologies, particularly AI and LLMs, to enhance both developer productivity and customer experience
Experience with JavaScript, React, and other web technologies
Proficiency with a backend language (we use Go)
Proficiency with relational databases (we use Postgres)
Excited to help shape product features that improve user experience and drive impact
Able to make pragmatic trade-offs in design and delivery, balancing technical quality with business needs
What will give you an edge:
Experience in cybersecurity. If not, you’ll just need to be willing to learn
Comfortable building complex applications and systems from the ground up in collaboration with cross-functional teams
Care deeply about user experience and are motivated by building products that make a meaningful impact for customers
Have a humble attitude and a strong desire to contribute to the team’s success
We use a modern stack, including React, Go, and Kubernetes, on Google Cloud Platform, so experience with these technologies is a plus.
Why you’ll love it here:
A strong engineering culture focused on learning, impact, and craftsmanship
Opportunities to work on cutting-edge problems in security, AI, and scale.
Regular team off-sites, collaborative professional development, and a no-ego culture.
What's in it for you:
Monthly Lifestyle subsidy: Use this for financial, physical, and mental well-being
WFH set-up allowance: To ensure you have the right environment to work in, we will help you get set up within your first 3 months at UpGuard
$1500 USD annual Learning & Development allowance: To support your career development, all team members will be able to expense development opportunities against this allowance
Annual leave: PTO plus two additional UpGuardian leave days to give you time to recharge your batteries.
18 weeks paid Parental Leave: Irrespective of parenting role
Personal Leave Allowance: This includes sick & carer’s leave
Fully remote working environment: While we have physical offices in Sydney & Hobart, we do not mandate compulsory attendance
Top-spec hardware: All team members will be provided with top-spec laptops for their role
Generative AI subsidy: UpGuard provides paid subscriptions for all team members to access generative AI tools to support their work
#LI-SR1

UpGuard is a Certified Great Place to Work® in the US, Australia, UK and India, establishing its position as a leading global technology employer. 99% of team members agree that UpGuard is a great place to work, apply now to find out why!

As an Equal Employment Opportunity and Affirmative Action Employer, qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status.

For applications to positions in the United States, please note, at this time we can only support hiring in the following US states: CA, MD, MA, IL, OR, WA, CO, TX, FL, PA, LA, MO, or DC.

Before starting work with us, you will need to undertake a national police history check and reference checks. Also please note that at this time, we cannot support candidates requiring visa sponsorship or relocation.
We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",2026-01-08 10:10
Associate Software Engineer,N/A,https://au.indeed.com/rc/clk?jk=bfb01196ca244bc3&bb=dQaK1IbevmQh1VhcYn5hg1JuRxSkB-EYxK3BrPgiOGY3vJA_kPqIQML_ZMLbhhxFWmsJ1i-xoHkzhfcf2VkHVePuiyCwa6lZyS9mM2KXfFqcwO98RsY1U59m6Wtnbp-VDKFl8VJZwDLHQ9VkaHx_lw%3D%3D&xkcb=SoBe67M3oNxRJgAFuL0IbzkdCdPP&fccid=24a3456d3ce2ad08&vjs=3,Australia,"At Resmed, we are changing lives with every breath – improve patient quality of life, prevent chronic disease progression and reduce healthcare system costs. Our mission is to delight Resmed's developer community with an opinionated, yet empathetic developer experience that avoids surprise, is a joy to use, and abstracts the complexities of modern development to accelerate the pace of Resmed’s next generation Healthcare Informatics platform.
As an Associate Software Engineer, you must be a motivated individual seeking an opportunity to work on large scale / high volume cloud native applications alongside highly skilled, experienced engineers.
Let's talk about responsibilities:
Exhibit an eagerness to learn and grow as an engineer
Build best-in-class, cloud-native web and mobile applications that are reliable, scalable and secure
Collaborate with other engineers in the team and receive guidance as necessary
Adhere to the processes and standards being followed by the team and the organization
Participate in proof-of-concept work and spikes
Participate in design and documentation
Work on new products, new features on existing products, enhancements to existing features, bug fixes and maintenance changes as per the need of the hour
Qualifications and Experience:
BS/MS in Computer Science or equivalent experience
1+ years of professional software development experience
A solid understanding of Data Structures and Algorithms
A good understanding of code design patterns
A basic knowledge of system design and architecture patterns
Good problem solving and analytical skills
What you can expect:
A supportive environment that focuses on people development and best practices.
Opportunity to design, influence and be innovative
Work with global teams and share new ideas
Be supported both inside and outside of the work environment.
The opportunity to build something meaningful and see a direct impact on people’s lives
#LI-APAC
Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now! We commit to respond to every applicant.",2026-01-08 10:10
Graduate Software Engineer,N/A,https://au.indeed.com/rc/clk?jk=0fa716fb3eddd32c&bb=dQaK1IbevmQh1VhcYn5hgwHNu5UMXpWwN-juZZL4UTYZD2xS8h1t74yQDnHksJig6Cyqkj6Lm73STLl_n7PI9PvJ9ecOgc2IAERfBubyehaV0KgCFi71I3GHCZMLVTjWUqqMrC0pfXXn6clu3Ut0IQ%3D%3D&xkcb=SoDQ67M3oNxRJgAFuL0PbzkdCdPP&fccid=24a3456d3ce2ad08&vjs=3,Australia,"We are looking for a Software Engineer who has an experience with Programming and AWS cloud services to be part of the Test Engineering team.
As a Software Engineer with Programming and AWS knowledge, you will be an enthusiastic self-starter who can think outside the box and possess the mental agility to make an impact within your role quickly. You will be able to show the ability to learn fast and to work effectively within the team environment. You love technology, writing code, and training machines to automate your tasks.

Let’s talk about Responsibilities
This role is responsible performing software development, design and testing to support the testing activities in the DHT web, mobile and cloud applications. It also encompasses working with global Product Development (PD) teams in Sydney, San Diego and Halifax. These applications are designed for clinicians involved in the care and management of patients with obstructive sleep apnea and respiratory disorders.
Apply software development skills/techniques and AWS knowledge to the design and development of test automation solutions.
Enhance tools/applications for the current test automation framework by applying innovative state-of-the-art software development frameworks and data science solutions.
Propose, define and implement processes and solutions for improved software development.
Resolve complex problems with efficient designs and implementations.
Perform design reviews and test code inspections leading to application optimization.
Collaborate within teams, across business and initiate functional and technical discussions.
Maintain technical skills and awareness of current state-of-the-art technical advancements.

Let’s talk about Qualifications and Experience

Required:
Computer Science, Engineering or Science degree or equivalent experience.
Experience in at least one programming language - Python, Java
Strong problem solving skill
Knowledge in Machine Learning methodologies, GenAI with hands on experience / projects
Good understanding of cloud networking concepts
Preferred:
Container Tooling – Docker
Work with CI/CD automation tools such as GitHub actions, GitHub pipelines
AWS, Terraform
Good communication and presentation skill
#LI-APAC
Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now! We commit to respond to every applicant.",2026-01-08 10:10
We can’t find this page,N/A,https://au.indeed.com/viewjob?jk=123456789abcdef0,Australia,,2026-01-08 10:11
Software Engineer,N/A,https://au.indeed.com/rc/clk?jk=ff8afa33f5295fa4&bb=dQaK1IbevmQh1VhcYn5hgzjYknDgb7EAoLxjvExSlrRqWXBsDgv_i5D4gXPzDm-AQ28Kg2qWcVVGDsEYh3E_hAHSzkNgem3QV0MmNqjzlgjfa5yxB57-X6AJyaEO5XVAE_g2F1_B8gGLXGayhX7l3g%3D%3D&xkcb=SoBk67M3oNxRJgAFuL0ObzkdCdPP&fccid=24a3456d3ce2ad08&vjs=3,Australia,"About the role
At Resmed, we are changing lives with every breath – improve patient quality of life, prevent chronic disease progression and reduce healthcare system costs. Our mission is to delight Resmed's developer community with an opinionated, yet empathetic developer experience that avoids surprise, is a joy to use, and abstracts the complexities of modern development to accelerate the pace of Resmed’s next generation Healthcare Informatics platform.
As a Software Engineer, you must possess world class technical skills and a strong sense of empathy for your fellow developers. You will work closely with other talented engineers, architects, and other stakeholders to architect, implement, and deliver on our roadmap.
Let’s talk about responsibilities:
· Exhibit an engineering first mentality with a deep empathy for the challenges of modern software development
· Build best-in-class, cloud-native web and mobile applications that are reliable, scalable and secure.
· Produce system design and architecture, write application and infrastructure code and tests and deploy them in the cloud
· Adhere to the processes and standards being followed by the team and the organization
· Participate in proof-of-concept work and spikes
· Participate in design and code reviews
· Work on new products, new features on existing products, enhancements
to existing features, bug fixes and maintenance changes as per the ned of the hour
· Be a good team player by helping and unblocking other engineers where possible and occasionally lead projects or parts of a project
· Strive to improve existing systems, design and code at every possible opportunity
Qualifications and Experience:
· BS/MS in Computer Science or equivalent experience
· 4+ years of experience building APIs using Java & SpringBoot or Python & FastAPI or an equivalent language & framework
· 2+ years of experience in public cloud (AWS) in building services using cloud native technologies including Kubernetes, Docker, serverless, etc.
· 2+ years of experience working on web front ends with ReactJS, HTML, and CSS.
· Experience working SQL or NoSQL databases
· Experience using AI coding assistants such as GitHub Copilot
· Strongly held test practices using automated testing tools
· Experience working in an Agile SCRUM environment
· Bachelor’s degree or higher
· Experience working in high volume, cloud native mobile and web applications
· Experience working with microservices architecture
· Experience working with micro-frontend frameworks
· Experience with GitOps and building infrastructure as code
What you can expect:
· A supportive environment that focuses on people development and best practices.
· Opportunity to design, influence and be innovative
· Work with global teams and share new ideas
· Be supported both inside and outside of the work environment.
· The opportunity to build something meaningful and see a direct impact on people’s lives
#LI-APAC
Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now! We commit to respond to every applicant.",2026-01-08 10:11
IT Software Engineer,N/A,https://au.indeed.com/rc/clk?jk=5318546b65b011d4&bb=dQaK1IbevmQh1VhcYn5hg0JzTLjFXxGMPc2PmowKpYJENeuLOAuYvLJM1YWt3iuZCuoB7zeo4q6Swcag9oM5eue3XfAiDCHO3buyTnG0Zieq44iq70gIv38hV7D0PR5GQf3rn1h1V7z4MBQznoJCBw%3D%3D&xkcb=SoD567M3oNxRJgAFuL0NbzkdCdPP&fccid=3a6b309410a33a62&vjs=3,Australia,"Take innovation from idea to implementation.
At the Electrolux Group, a lead global appliance company, we strive every day to shape living for the better for our consumers, our people and our planet. We share ideas and collaborate so that together, we can develop solutions that deliver enjoyable and sustainable living.
Come join us as you are. We believe diverse perspectives make us stronger and more innovative. In our global community of people from 100+ countries, we listen to each other, actively contribute and grow together.
Join us in our exciting quest to build the future home!
All about the role:
Provide applications design, development and support for the systems under control of the department.
What you’ll do:
Working independently, performs the analysis, design and programming functions of an application.
Monitors the system to ensure it meets its objectives, and to ensure accuracy and completeness of the application. Provide systems advice, planning and support to business units.
Conduct comprehensive tests and quality assurance of all software.
Conduct training with end users as appropriate.
Ensure all activities comply with company standards for development and maintenance of software systems.
In this role, you will be dealing with Electrolux’s Internal customers. You should be confident in dealing with leaders both from a country level and region level perspective.
In Electrolux, we encourage open communication at all levels and put emphasis in dealing with our customers as well as colleagues with integrity and respect. You will be working in (Beverley, Adelaide Australia) on regular working hours and may be required to travel both domestic and international. Also travelling to our factory at Dudley Park when required.
Who you are:
Able to work within a small, highly motivated and sharply focused team.
Able to work at times under extreme pressure.
Creative, structured and analytical in application enhancements and modifications.
Self-motivated and results orientated.
Excellent problem solving skills.
Able to work autonomously as well as in a team environment.
Excellent communication and presentation skills with ability to communicate at all levels.
Good coaching and training skills with a willingness to listen to and share experiences with others.
You are expected to participate in special projects as requested by Electrolux management either as required by the business and/or as part or your career development plan.
EXPERIENCE
Minimum 2 years of experience as an IT Software Engineer using client/server technology
Previous experience in manufacturing processes and procedures is required
Experience with Clarion for Windows and Actian Btrieve database or other GUI-based development or SQL database technology is a strong advantage.
Where you’ll be:
You will be based at Beverley, SA, Australia. It will be necessary to be available for national and international traveling.
Benefits include:
Discounts on our award-winning Electrolux products and services;
Family-friendly benefits ;
Health and Well-being initiatives
Extensive learning opportunities and flexible career path.
Continued Progress on Diversity & Inclusion
Living our Sustainability Commitment
As part of the Electrolux Group, we will continuously invest in you and your development. There are no barriers to where your career could take you.
Find out more on www.electroluxgroup.com",2026-01-08 10:11
Software Engineer - Connex on HP Nonstop,N/A,https://au.indeed.com/rc/clk?jk=e00b0393e4beb124&bb=dQaK1IbevmQh1VhcYn5hgzjYknDgb7EA348wRX1euKbYfuioIPwk_Lmj5JP-fODrQCZmteMJ58D8LzgM_twxIDG9cDYX9LZdvJ2qKCWntCLnCcFButxT6EEVIlAsxMuYyYW4MvgNW6doohqxVJS7WLEf_iVt4j-j&xkcb=SoBN67M3oNxRJgAFuL0MbzkdCdPP&fccid=74e36d81c894b4b7&vjs=3,Australia,"Position Type :
Full time
Type Of Hire :
Experienced (relevant combo of work and education)
Education Desired :
Bachelor of Computer Engineering
Travel Percentage :
0%
We are FIS. Our technology powers the world’s economy and our teams bring innovation to life. We champion diversity to deliver the best products and solutions for our colleagues, clients and communities. If you’re ready to start learning, growing and making an impact with a career in fintech, we’d like to know: Are you FIS?

About the role
We are hiring for Senior Software Engineer, Connex on HP Nonstop to modernise payments processing in Australia. This role will be based in Sydney and will support major payments and banking clients.

What you will be doing
Implementation of new security standards into locally supported online payments messages.
Developing support for AES and Key Blocks in the Connex switch application to enable Banks to migrate from current to updated security standards for card-based payment transactions.

What you bring
Minimum 7-10 years of software development experience
HPE NonStop development experience
TAL/pTAL, TACL, Guardian, SQL/MX and Enscribe database, Pathway
Experience with key management and validation services as used in payments industry.
Connex on HPE NonStop Payments systems experience is highly desirable
Experience with Thales Hardware Security Modules or other security devices is highly desirable.
AS2805 or ISOS8583 based scheme and interchange links development experience
Experience with delivering best practices for Managed Service clients based on ITIL framework -
What we offer you:
At FIS, you can learn, grow and make an impact in your career. Our benefits include:
Flexible and creative work environment
Diverse and collaborative atmosphere
Professional and personal development resources
Opportunities to volunteer and support charities
Competitive salary and benefits including comprehensive medical and other insurance cover and employee share scheme
#LI-TC2
Privacy Statement
FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.
Sourcing Model
Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.
#pridepass",2026-01-08 10:11
"Backend Software Engineer Graduate, Trust and Safety Engineering - 2026 start",N/A,https://au.indeed.com/rc/clk?jk=d6897a17f7f579c3&bb=dQaK1IbevmQh1VhcYn5hgx8h32Qp1b8KovmNLauvPbUgYOmrEu9AuMZDZGsRwUzNthAJfGEisDyoEAQNz0D-W_pgk0MWhH_81ezAYiESddrTX0aduf6LXUvklwWiInSJ3Z1CSMpiPHk4X0AYdm-RizyOFhuFZjX-&xkcb=SoCk67M3oNxRJgAFuL0DbzkdCdPP&fccid=caed318a9335aac0&vjs=3,Australia,"Backend

Backend Software Engineer Graduate, Trust and Safety Engineering - 2026 start

Location
:

Sydney

Employment Type
:

Regular

Job Code
:

A103491

Responsibilities

About TikTok
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact-for ourselves, our company, and the users we serve. Join us.

The Trust and Safety (TnS) engineering team is responsible for protecting our users from harmful content and abusive behaviors. With the continuous efforts of our trust and safety engineering team, TikTok can provide the best user experience and bring joy to everyone in the world. Our team is responsible for achieving goals by building content moderation process systems, rule engine, strategy systems, feature engine, human moderation platforms, risk insight systems and all kinds of supportive platforms across TnS organization.

We are looking for talented individuals to join us in 2026. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok.

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Online Assessment
Candidates who pass resume evaluation will be invited to participate in TikTok's technical online assessment in HackerRank.

Responsibilities
Responsible for the research and development of trust and safety related systems and product functionalities on international live streaming products, including but not limited to: safety process, user perception, review efficiency improvement, strategy platform construction, etc;
Responsible for enhancing the safety experience of a large number of international live streaming users, and building high-concurrency, high-stability systems for higher daily active users;
In-depth exploration and analysis of business requirements and products to find solutions for live streaming safety issues.
Qualifications

Minimum Qualifications:
Bachelor or above degree in computer science or a related technical discipline;
Proficiency in designing data structures, building algorithms, and at least one programming language: python / go / php / c++ / java
Preferred Qualifications:
Have excellent problem analysis and driving ability, good at thinking about the underlying causes of problems, and adept at summarizing and concluding;
Great communication and teamwork skills;
Good teamwork, communication skills, and service awareness, proactive and optimistic, strong sense of responsibility and self-motivation.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

In the spirit of reconciliation, TikTok acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community. We pay our respect to Elders past and present and extend that respect to all Aboriginal and Torres Strait Islander peoples today.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.

If you have any questions, please reach out to us at apac-earlycareers@tiktok.com

Job Information

About TikTok

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and we also have offices in New York City, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.



Why Join Us

Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.



We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.





Diversity & Inclusion



TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.



Acknowledgment of Country

In the spirit of reconciliation, TikTok acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community. We pay our respect to elders past and present and extend that respect to all Aboriginal and Torres Strait Islander peoples today.",2026-01-08 10:11
